image_filename,grain_count,average_grain_size_px2,average_pixel_confidence,phase_percentages,needs_review
RG14_1_1.jpg,29,3260.48,0.388,N/A (Grain Analysis),False
RG14_1_2.jpg,35,2444.34,0.406,N/A (Grain Analysis),False
RG14_1_3.jpg,28,3330.71,0.393,N/A (Grain Analysis),False
RG14_1_4.jpg,34,2583.62,0.398,N/A (Grain Analysis),False
RG14_2_1.jpg,34,2764.49,0.387,N/A (Grain Analysis),False
RG14_2_2.jpg,29,3241.97,0.384,N/A (Grain Analysis),False
RG14_2_3.jpg,23,4496.37,0.358,N/A (Grain Analysis),False
RG14_2_4.jpg,31,3064.45,0.380,N/A (Grain Analysis),False
RG14_3_1.jpg,23,4460.59,0.363,N/A (Grain Analysis),False
RG14_3_2.jpg,21,5056.07,0.364,N/A (Grain Analysis),False
RG14_3_3.jpg,23,4617.85,0.361,N/A (Grain Analysis),False
RG14_3_4.jpg,25,3928.96,0.372,N/A (Grain Analysis),False
RG15_1_1.jpg,20,5117.98,0.379,N/A (Grain Analysis),False
RG15_1_2.jpg,38,2289.03,0.410,N/A (Grain Analysis),False
RG15_1_3.jpg,23,4488.87,0.378,N/A (Grain Analysis),False
RG15_1_4.jpg,28,3317.21,0.390,N/A (Grain Analysis),False
RG15_2_1.jpg,31,2967.63,0.398,N/A (Grain Analysis),False
RG15_2_2.jpg,28,3488.43,0.387,N/A (Grain Analysis),False
RG15_2_3.jpg,34,2799.59,0.388,N/A (Grain Analysis),False
RG15_2_4.jpg,32,2805.17,0.403,N/A (Grain Analysis),False
RG15_3_1.jpg,27,3324.28,0.403,N/A (Grain Analysis),False
RG15_3_2.jpg,31,2971.23,0.397,N/A (Grain Analysis),False
RG15_3_3.jpg,33,2931.59,0.371,N/A (Grain Analysis),False
RG15_3_4.jpg,23,4565.00,0.365,N/A (Grain Analysis),False
RG16_1_1.jpg,28,3404.14,0.393,N/A (Grain Analysis),False
RG16_1_2.jpg,19,5378.95,0.381,N/A (Grain Analysis),False
RG16_1_3.jpg,20,5164.95,0.380,N/A (Grain Analysis),False
RG16_1_4.jpg,28,3275.16,0.393,N/A (Grain Analysis),False
RG16_2_1.jpg,29,3309.62,0.389,N/A (Grain Analysis),False
RG16_2_2.jpg,25,3980.68,0.379,N/A (Grain Analysis),False
RG16_2_3.jpg,33,2857.74,0.394,N/A (Grain Analysis),False
RG16_2_4.jpg,25,3826.76,0.387,N/A (Grain Analysis),False
RG16_3_1.jpg,27,3510.06,0.389,N/A (Grain Analysis),False
RG16_3_2.jpg,29,3301.02,0.386,N/A (Grain Analysis),False
RG16_3_3.jpg,31,2958.42,0.393,N/A (Grain Analysis),False
RG16_3_4.jpg,26,3791.81,0.384,N/A (Grain Analysis),False
RG17_1_1.jpg,27,3743.19,0.382,N/A (Grain Analysis),False
RG17_1_2.jpg,36,2504.50,0.393,N/A (Grain Analysis),False
RG17_1_3.jpg,30,3135.82,0.389,N/A (Grain Analysis),False
RG17_1_4.jpg,34,2726.69,0.386,N/A (Grain Analysis),False
RG17_2_1.jpg,34,2814.76,0.382,N/A (Grain Analysis),False
RG17_2_2.jpg,31,3050.81,0.385,N/A (Grain Analysis),False
RG17_2_3.jpg,26,3842.56,0.372,N/A (Grain Analysis),False
RG17_2_4.jpg,24,4080.12,0.382,N/A (Grain Analysis),False
RG17_3_1.jpg,24,4052.35,0.383,N/A (Grain Analysis),False
RG17_3_2.jpg,32,2880.00,0.389,N/A (Grain Analysis),False
RG17_3_3.jpg,27,3660.33,0.371,N/A (Grain Analysis),False
RG17_3_4.jpg,30,2976.03,0.396,N/A (Grain Analysis),False
RG18_1_1.jpg,24,4304.62,0.387,N/A (Grain Analysis),False
RG18_1_2.jpg,23,4330.46,0.386,N/A (Grain Analysis),False
RG18_1_3.jpg,30,3155.90,0.396,N/A (Grain Analysis),False
RG18_1_4.jpg,23,4452.63,0.377,N/A (Grain Analysis),False
RG18_2_1.jpg,29,3023.57,0.400,N/A (Grain Analysis),False
RG18_2_2.jpg,39,2325.37,0.401,N/A (Grain Analysis),False
RG18_2_3.jpg,31,3048.79,0.388,N/A (Grain Analysis),False
RG18_2_4.jpg,24,4287.06,0.374,N/A (Grain Analysis),False
RG18_3_1.jpg,28,3568.64,0.382,N/A (Grain Analysis),False
RG18_3_2.jpg,32,3094.47,0.385,N/A (Grain Analysis),False
RG18_3_3.jpg,28,3515.88,0.393,N/A (Grain Analysis),False
RG18_3_4.jpg,24,4026.02,0.381,N/A (Grain Analysis),False
RG19_1_1.jpg,33,2798.30,0.402,N/A (Grain Analysis),False
RG19_1_2.jpg,34,2833.51,0.394,N/A (Grain Analysis),False
RG19_1_3.jpg,34,2973.21,0.384,N/A (Grain Analysis),False
RG19_1_4.jpg,27,3762.96,0.377,N/A (Grain Analysis),False
RG19_2_1.jpg,29,3329.72,0.395,N/A (Grain Analysis),False
RG19_2_2.jpg,25,4095.24,0.378,N/A (Grain Analysis),False
RG19_2_3.jpg,32,3232.75,0.380,N/A (Grain Analysis),False
RG19_2_4.jpg,31,3172.24,0.386,N/A (Grain Analysis),False
RG19_3_1.jpg,30,3225.98,0.393,N/A (Grain Analysis),False
RG19_3_2.jpg,29,3415.78,0.393,N/A (Grain Analysis),False
RG19_3_3.jpg,31,3216.84,0.384,N/A (Grain Analysis),False
RG19_3_4.jpg,30,3198.07,0.385,N/A (Grain Analysis),False
RG1_1_1.jpg,27,3381.80,0.390,N/A (Grain Analysis),False
RG1_1_2.jpg,30,2918.35,0.400,N/A (Grain Analysis),False
RG1_1_3.jpg,22,4505.86,0.380,N/A (Grain Analysis),False
RG1_1_4.jpg,27,3263.91,0.398,N/A (Grain Analysis),False
RG1_2_1.jpg,32,2840.39,0.390,N/A (Grain Analysis),False
RG1_2_2.jpg,28,3373.70,0.382,N/A (Grain Analysis),False
RG1_2_3.jpg,24,4173.94,0.369,N/A (Grain Analysis),False
RG1_2_4.jpg,30,3210.98,0.380,N/A (Grain Analysis),False
RG1_3_1.jpg,30,3118.27,0.380,N/A (Grain Analysis),False
RG1_3_2.jpg,24,4194.42,0.375,N/A (Grain Analysis),False
RG1_3_3.jpg,24,3927.02,0.377,N/A (Grain Analysis),False
RG1_3_4.jpg,34,2474.41,0.395,N/A (Grain Analysis),False
RG20_1_1.jpg,23,4614.20,0.368,N/A (Grain Analysis),False
RG20_1_2.jpg,26,3959.69,0.377,N/A (Grain Analysis),False
RG20_1_3.jpg,21,4746.48,0.389,N/A (Grain Analysis),False
RG20_1_4.jpg,22,4836.30,0.367,N/A (Grain Analysis),False
RG20_2_1.jpg,28,3440.55,0.395,N/A (Grain Analysis),False
RG20_2_2.jpg,31,3165.97,0.395,N/A (Grain Analysis),False
RG20_2_3.jpg,27,3713.78,0.382,N/A (Grain Analysis),False
RG20_2_4.jpg,22,4770.05,0.372,N/A (Grain Analysis),False
RG20_3_1.jpg,36,2483.33,0.402,N/A (Grain Analysis),False
